month,establishment,total_chf,official_chf,non_official_chf,month_subtotal_chf,month_official_chf,month_non_official_chf,invoice_count,nights,avg_chf_per_night,change_vs_previous_month_chf,change_vs_previous_month_pct
2025-01,Primadom Aparthotel,790.00,790.00,0.00,790.00,790.00,0.00,4,8,98.75,,
2025-02,Primadom Aparthotel,592.50,592.50,0.00,592.50,592.50,0.00,3,6,98.75,-197.50,-25.00
2025-03,Primadom Aparthotel,790.00,790.00,0.00,790.00,790.00,0.00,4,8,98.75,197.50,33.33
2025-04,Primadom Aparthotel,790.00,790.00,0.00,923.35,923.35,0.00,5,9,102.59,133.35,16.88
2025-04,Starling Hotel Residence Geneve,133.35,133.35,0.00,923.35,923.35,0.00,5,9,102.59,133.35,16.88
2025-05,Airbnb,98.95,98.95,0.00,856.19,691.45,164.74,5,8,107.02,-67.16,-7.27
2025-05,Primadom Aparthotel,592.50,592.50,0.00,856.19,691.45,164.74,5,8,107.02,-67.16,-7.27
2025-05,Ramada Encore by Wyndham Geneva,164.74,0.00,164.74,856.19,691.45,164.74,5,8,107.02,-67.16,-7.27
2025-06,Airbnb,217.30,217.30,0.00,612.30,612.30,0.00,3,6,102.05,-243.89,-28.49
2025-06,Primadom Aparthotel,395.00,395.00,0.00,612.30,612.30,0.00,3,6,102.05,-243.89,-28.49
2025-07,Starling Hotel Residence Geneve,241.20,0.00,241.20,241.20,0.00,241.20,1,2,120.60,-371.10,-60.61
2025-08,Starling Hotel Residence Geneve,555.00,555.00,0.00,555.00,555.00,0.00,2,4,138.75,313.80,130.10
2025-09,Airbnb,209.35,209.35,0.00,714.16,209.35,504.81,3,6,119.03,159.16,28.68
2025-09,Ramada Encore by Wyndham Geneva,504.81,0.00,504.81,714.16,209.35,504.81,3,6,119.03,159.16,28.68
2025-10,Nash Airport Hotel,125.75,0.00,125.75,622.70,245.50,377.20,3,5,124.54,-91.46,-12.81
2025-10,Ramada Encore by Wyndham Geneva,251.45,0.00,251.45,622.70,245.50,377.20,3,5,124.54,-91.46,-12.81
2025-10,Starling Hotel Residence Geneve,245.50,245.50,0.00,622.70,245.50,377.20,3,5,124.54,-91.46,-12.81
2025-11,Airbnb,168.85,0.00,168.85,721.85,287.50,434.35,3,6,120.31,99.15,15.92
2025-11,Ramada Encore by Wyndham Geneva,265.50,0.00,265.50,721.85,287.50,434.35,3,6,120.31,99.15,15.92
2025-11,Starling Hotel Residence Geneve,287.50,287.50,0.00,721.85,287.50,434.35,3,6,120.31,99.15,15.92
2025-12,Airbnb,213.30,0.00,213.30,728.30,515.00,213.30,3,6,121.38,6.45,0.89
2025-12,Starling Hotel Residence Geneve,515.00,515.00,0.00,728.30,515.00,213.30,3,6,121.38,6.45,0.89
