iso_year,iso_week,week_start,week_end
2025,7,2025-02-10,2025-02-16
2025,17,2025-04-21,2025-04-27
2025,23,2025-06-02,2025-06-08
2025,27,2025-06-30,2025-07-06
2025,28,2025-07-07,2025-07-13
2025,29,2025-07-14,2025-07-20
2025,30,2025-07-21,2025-07-27
2025,35,2025-08-25,2025-08-31
2025,37,2025-09-08,2025-09-14
2025,41,2025-10-06,2025-10-12
2025,42,2025-10-13,2025-10-19
2025,52,2025-12-22,2025-12-28
2026,1,2025-12-29,2026-01-04
2026,2,2026-01-05,2026-01-11
2026,13,2026-03-23,2026-03-29
2026,18,2026-04-27,2026-05-03
2026,21,2026-05-18,2026-05-24
